Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
355,LSTM_model,12 hours,0.86,1.49,1.79,1.76,0.98,0.77,3.21
355,LSTM_model,24 hours,0.83,2.46,2.99,1.76,0.7,0.38,8.92
355,LSTM_model,36 hours,0.88,1.73,2.45,1.77,0.74,0.49,5.98
355,LSTM_model,72 hours,0.89,1.5,2.08,1.77,0.72,0.47,4.33
355,LSTM_model,120 hours,0.89,1.43,1.9,1.78,0.74,0.49,3.59
939,LSTM_model,3 hours,0.0,0.82,0.82,2.0,,-inf,0.67
939,LSTM_model,6 hours,0.42,0.6,0.63,0.93,1.0,-9.07,0.4
939,LSTM_model,12 hours,0.86,1.43,2.21,1.8,0.74,0.37,4.89
939,LSTM_model,24 hours,0.9,1.21,1.84,1.78,0.82,0.67,3.37
939,LSTM_model,36 hours,0.91,1.0,1.55,1.78,0.87,0.75,2.41
939,LSTM_model,72 hours,0.92,1.05,1.57,1.78,0.89,0.77,2.47
939,LSTM_model,120 hours,0.92,1.07,1.54,1.78,0.92,0.8,2.39
11,LSTM_model,3 hours,0.0,0.84,0.84,2.0,,-inf,0.71
11,LSTM_model,6 hours,0.58,1.32,1.4,0.84,1.0,-1.71,1.96
11,LSTM_model,12 hours,0.81,1.75,1.85,1.74,0.99,0.55,3.41
11,LSTM_model,24 hours,0.77,2.55,2.73,1.75,0.94,0.02,7.43
11,LSTM_model,36 hours,0.76,2.61,2.74,1.75,0.96,0.03,7.53
11,LSTM_model,72 hours,0.85,2.32,2.64,1.76,0.74,0.49,6.99
11,LSTM_model,120 hours,0.85,2.21,2.55,1.77,0.72,0.47,6.48
267,LSTM_model,3 hours,0.0,0.09,0.09,2.0,,-inf,0.01
267,LSTM_model,6 hours,0.6,0.37,0.46,1.03,1.0,-4.27,0.21
267,LSTM_model,12 hours,0.91,0.56,0.79,1.61,0.97,0.85,0.62
267,LSTM_model,24 hours,0.84,1.07,1.25,1.58,0.87,0.5,1.57
267,LSTM_model,36 hours,0.86,1.41,1.69,1.6,0.91,0.41,2.87
