Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
380,LSTM_A_model,72 hours,0.89,1.15,1.39,1.75,0.86,0.73,1.93
380,LSTM_A_model,120 hours,0.89,1.44,1.72,1.75,0.84,0.69,2.96
775,LSTM_A_model,3 hours,0.0,2.76,2.76,2.0,,-inf,7.6
775,LSTM_A_model,6 hours,0.77,1.63,1.98,1.37,1.0,0.35,3.93
775,LSTM_A_model,12 hours,0.9,1.06,1.46,1.74,0.94,0.8,2.12
775,LSTM_A_model,24 hours,0.89,1.19,1.48,1.76,0.92,0.8,2.2
775,LSTM_A_model,36 hours,0.89,1.21,1.55,1.76,0.92,0.79,2.42
775,LSTM_A_model,72 hours,0.9,1.25,1.68,1.76,0.93,0.78,2.81
775,LSTM_A_model,120 hours,0.9,1.2,1.65,1.76,0.94,0.79,2.73
415,LSTM_A_model,3 hours,0.0,3.74,3.74,2.0,,-inf,14.0
415,LSTM_A_model,6 hours,0.43,4.24,4.26,1.51,1.0,-6.1,18.18
415,LSTM_A_model,12 hours,0.61,3.07,3.33,1.78,0.91,-2.85,11.12
415,LSTM_A_model,24 hours,0.8,2.43,2.75,1.77,0.81,0.24,7.55
415,LSTM_A_model,36 hours,0.81,2.6,2.96,1.77,0.78,0.35,8.76
