Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
614,LSTM_model,24 hours,0.89,0.94,1.15,1.75,0.9,0.77,1.32
614,LSTM_model,36 hours,0.89,1.17,1.47,1.76,0.87,0.72,2.18
614,LSTM_model,72 hours,0.85,1.96,2.42,1.76,0.83,0.4,5.84
614,LSTM_model,120 hours,0.86,1.85,2.24,1.76,0.82,0.4,5.04
687,LSTM_model,3 hours,0.0,2.61,2.61,2.0,,-inf,6.79
687,LSTM_model,6 hours,0.63,1.81,1.98,1.24,1.0,-0.86,3.91
687,LSTM_model,12 hours,0.82,1.26,1.49,1.55,0.99,0.43,2.21
687,LSTM_model,24 hours,0.85,1.4,1.82,1.64,0.98,0.52,3.31
687,LSTM_model,36 hours,0.83,1.6,1.89,1.65,0.96,0.4,3.56
687,LSTM_model,72 hours,0.87,1.61,2.02,1.71,0.97,0.54,4.07
687,LSTM_model,120 hours,0.86,1.89,2.34,1.73,0.98,0.51,5.46
438,LSTM_model,3 hours,0.0,0.85,0.85,2.0,,-inf,0.72
438,LSTM_model,6 hours,0.78,0.78,0.78,1.21,1.0,0.69,0.61
438,LSTM_model,12 hours,0.89,0.67,0.72,1.73,0.95,0.89,0.52
438,LSTM_model,24 hours,0.9,0.72,0.79,1.75,0.97,0.85,0.62
438,LSTM_model,36 hours,0.88,0.88,1.07,1.76,0.91,0.67,1.15
438,LSTM_model,72 hours,0.86,1.16,1.45,1.76,0.82,0.18,2.12
438,LSTM_model,120 hours,0.86,1.17,1.41,1.77,0.85,0.47,2.0
1026,LSTM_model,3 hours,0.0,0.88,0.88,2.0,,-inf,0.78
1026,LSTM_model,6 hours,0.17,0.97,0.97,0.18,1.0,-93.42,0.94
1026,LSTM_model,12 hours,0.81,0.75,0.8,1.59,0.98,0.62,0.64
1026,LSTM_model,24 hours,0.86,0.71,0.74,1.7,0.97,0.8,0.55
1026,LSTM_model,36 hours,0.87,0.66,0.73,1.69,0.97,0.78,0.53
1026,LSTM_model,72 hours,0.86,0.97,1.16,1.75,0.89,0.52,1.35
1026,LSTM_model,120 hours,0.86,1.27,1.65,1.76,0.82,0.24,2.73
543,LSTM_model,3 hours,0.0,1.97,1.97,2.0,,-inf,3.89
543,LSTM_model,6 hours,0.83,1.74,1.76,1.77,1.0,0.83,3.1
543,LSTM_model,12 hours,0.88,1.36,1.42,1.83,0.95,0.87,2.03
543,LSTM_model,24 hours,0.88,1.47,1.67,1.84,0.96,0.85,2.79
543,LSTM_model,36 hours,0.89,1.81,2.36,1.82,0.94,0.74,5.58
543,LSTM_model,72 hours,0.91,1.41,1.97,1.81,0.96,0.78,3.89
543,LSTM_model,120 hours,0.86,2.24,2.75,1.8,0.91,0.52,7.58
319,LSTM_model,3 hours,0.0,3.63,3.63,2.0,,-inf,13.16
319,LSTM_model,6 hours,0.55,3.19,3.22,1.62,1.0,-1.87,10.37
319,LSTM_model,12 hours,0.78,2.26,2.46,1.74,1.0,0.38,6.08
319,LSTM_model,24 hours,0.83,1.82,2.04,1.75,0.98,0.55,4.16
319,LSTM_model,36 hours,0.78,2.6,2.95,1.75,0.89,0.03,8.68
319,LSTM_model,72 hours,0.84,2.1,2.52,1.76,0.9,0.33,6.34
319,LSTM_model,120 hours,0.78,3.05,3.53,1.76,0.84,-0.18,12.48
1182,LSTM_model,3 hours,0.0,2.11,2.11,2.0,,-inf,4.43
1182,LSTM_model,6 hours,0.0,2.04,2.04,0.86,,-inf,4.18
1182,LSTM_model,12 hours,0.52,1.27,1.49,1.66,1.0,-9.0,2.22
1182,LSTM_model,24 hours,0.65,1.23,1.39,1.7,0.82,-3.07,1.92
1182,LSTM_model,36 hours,0.83,1.1,1.25,1.74,0.85,0.15,1.57
1182,LSTM_model,72 hours,0.88,1.84,2.16,1.75,0.83,0.59,4.66
1182,LSTM_model,120 hours,0.87,2.12,2.44,1.76,0.84,0.49,5.93
351,CNN_LSTM_model,3 hours,0.0,4.13,4.13,2.0,,-inf,17.02
351,CNN_LSTM_model,6 hours,0.52,3.37,3.45,1.47,1.0,-2.9,11.93
351,CNN_LSTM_model,12 hours,0.79,2.13,2.52,1.48,0.93,0.14,6.37
