Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
3801,LSTM_model,120 hours,0.66,67.88,87.89,1.99,-0.75,-6.71,7724.07
131,LSTM_model,3 hours,0.52,4.89,5.11,1.67,0.81,-4.6,26.14
131,LSTM_model,6 hours,0.9,2.9,3.68,1.95,0.99,0.84,13.57
131,LSTM_model,12 hours,0.92,5.98,7.43,1.98,1.0,0.9,55.18
131,LSTM_model,24 hours,0.88,13.9,16.74,1.99,0.96,0.72,280.28
131,LSTM_model,36 hours,0.91,11.14,14.37,1.99,0.97,0.79,206.47
131,LSTM_model,72 hours,0.84,22.07,28.34,1.98,0.8,0.15,803.17
131,LSTM_model,120 hours,0.79,30.12,36.91,1.98,0.62,-0.82,1362.67
1137,LSTM_model,3 hours,0.6,2.34,2.68,1.89,0.91,-2.58,7.17
1137,LSTM_model,6 hours,0.79,3.64,3.99,1.95,0.99,0.34,15.9
1137,LSTM_model,12 hours,0.92,3.53,3.76,1.97,0.99,0.91,14.17
1137,LSTM_model,24 hours,0.94,3.31,3.63,1.98,0.98,0.95,13.19
1137,LSTM_model,36 hours,0.93,4.39,5.07,1.98,0.97,0.89,25.74
1137,LSTM_model,72 hours,0.9,6.59,8.08,1.98,0.95,0.73,65.24
1137,LSTM_model,120 hours,0.89,7.83,10.11,1.98,0.92,0.6,102.28
5731,LSTM_model,3 hours,0.18,5.11,5.41,1.79,-0.34,-130.65,29.26
5731,LSTM_model,6 hours,0.74,4.93,5.18,1.94,0.97,0.01,26.87
5731,LSTM_model,12 hours,0.91,5.17,5.45,1.98,1.0,0.89,29.66
5731,LSTM_model,24 hours,0.9,9.54,11.1,1.99,0.98,0.82,123.23
5731,LSTM_model,36 hours,0.85,14.12,16.25,1.98,0.94,0.5,263.95
5731,LSTM_model,72 hours,0.82,21.94,24.48,1.99,0.91,0.13,599.19
5731,LSTM_model,120 hours,0.8,25.97,29.62,1.99,0.71,-0.61,877.51
7816,LSTM_model,3 hours,0.2,15.91,16.05,1.51,-0.59,-88.2,257.68
7816,LSTM_model,6 hours,0.44,19.64,20.08,1.8,0.87,-12.19,403.08
7816,LSTM_model,12 hours,0.47,18.55,19.21,1.91,0.43,-13.01,368.97
7816,LSTM_model,24 hours,0.69,15.43,16.43,1.97,0.89,-2.05,270.04
7816,LSTM_model,36 hours,0.61,24.36,28.13,1.98,0.48,-8.75,791.3
7816,LSTM_model,72 hours,0.74,24.2,28.33,1.98,0.32,-2.15,802.53
7816,LSTM_model,120 hours,0.82,24.05,28.49,1.98,0.25,-0.17,811.46
2865,LSTM_model,3 hours,0.0,3.19,3.61,1.81,,-inf,13.04
2865,LSTM_model,6 hours,0.4,5.58,6.19,1.9,0.77,-30.34,38.31
2865,LSTM_model,12 hours,0.54,8.84,9.86,1.95,0.96,-8.18,97.14
2865,LSTM_model,24 hours,0.55,18.98,21.95,1.96,0.06,-12.93,481.95
2865,LSTM_model,36 hours,0.49,22.9,25.46,1.97,0.11,-25.96,648.01
2865,LSTM_model,72 hours,0.65,47.82,58.43,1.98,-0.65,-8.36,3414.65
2865,LSTM_model,120 hours,0.7,116.42,149.46,1.98,-0.81,-2.97,22336.81
6786,CNN_LSTM_model,3 hours,0.56,3.5,4.2,1.83,0.07,-7.82,17.64
6786,CNN_LSTM_model,6 hours,0.78,5.89,6.58,1.94,0.93,0.19,43.35
6786,CNN_LSTM_model,12 hours,0.83,12.07,14.14,1.97,0.98,0.45,199.96
6786,CNN_LSTM_model,24 hours,0.78,23.19,27.26,1.99,0.83,-0.18,742.92
6786,CNN_LSTM_model,36 hours,0.69,39.97,48.02,1.99,0.54,-3.69,2305.79
6786,CNN_LSTM_model,72 hours,0.62,59.75,69.46,1.99,0.23,-8.72,4825.03
6786,CNN_LSTM_model,120 hours,0.71,66.34,78.0,1.99,0.1,-4.53,6084.08
3772,CNN_LSTM_model,3 hours,0.45,1.03,1.41,1.75,0.79,-34.62,1.98
3772,CNN_LSTM_model,6 hours,0.61,2.69,3.44,1.91,0.98,-8.82,11.8
3772,CNN_LSTM_model,12 hours,0.73,6.06,7.29,1.96,0.98,-1.53,53.17
3772,CNN_LSTM_model,24 hours,0.7,18.16,23.09,1.98,0.43,-5.18,533.33
3772,CNN_LSTM_model,36 hours,0.61,33.2,41.33,1.98,-0.28,-7.36,1708.05
3772,CNN_LSTM_model,72 hours,0.46,63.21,72.42,1.99,-0.28,-31.1,5244.44
3772,CNN_LSTM_model,120 hours,0.5,90.69,100.91,1.99,-0.45,-39.78,10183.16
986,CNN_LSTM_model,3 hours,0.37,1.79,1.86,1.76,-1.0,-14.51,3.45
